dc_title,dcterms_alternative,dc_creator,dc_subject,dc_description,dc_publisher,dc_contributor,dc:type,dc:format,dc:identifier,dc:source,dc:language,dcterms:isPartOf,dcterms:spatial,dcterms:temporal,dc:rights,SLQ Digitool viewer,1000_pixel_jpg and 150_pixel_jpg images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queensland sugar-cane polka,,"Leadbeater, Edward.",Songs with piano,"'This composition is intended for Folk dancing; in addition, the melody line makes an effective march for school fife bands'. --handwritten note inside front cover. [Edward Leadbeater was a Department (of Education) teacher of music during the 1950's] -- from a loose note inside score. Key of D.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 manuscript score (1) p. ; 28 cm.,,"Copied and digitised from The Queensland sugar-cane polka words & music by Edward Leadbeater. [Brisbane, Qld. : Edward Leadbeater, 19--?] Item is held by State Library of Queensland.",,Accession number: Bib 469374 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1255 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1255,The Queensland sugar-cane polka - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403569&custom_att_3=NLA,The Queensland sugar-cane polka - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403573&custom_att_3=NLA,The Queensland sugar-cane polka - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403577&custom_att_3=NLA,The Queensland sugar-cane polka thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403570,469374-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403574,469374-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be aisy,,"Jordan, Ernest R. B.,1885-ca. 1942.",Songs with piano,'Signed by composer on the front cover.' Text printed on inside of front cover.,State Library of Queensland,Teeby.,image,Digital format: image/jpeg Original format: 1 score (7) p. ; 36 cm.,,"Copied and digitised from Be aisy music by Ernest R. B. Jordan ; words by 'Teeby' Brisbane, Qld. : G. J. Grice Ltd., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 469462 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1256 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1256,Be aisy - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403583&custom_att_3=NLA,Be aisy - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403587&custom_att_3=NLA,Be aisy - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403591&custom_att_3=NLA,Be aisy - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403595&custom_att_3=NLA,Be aisy - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403599&custom_att_3=NLA,Be aisy - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403603&custom_att_3=NLA,Be aisy - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403607&custom_att_3=NLA,Be aisy thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403584,469462-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403588,469462-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403592,469462-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403596,469462-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403600,469462-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403604,469462-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403608,,,,,,,,,,,,,,,,,,,,
Laughter song,,"Templeton, P. S.",Songs with piano,Works by Australian composers. 'E b major'--cover.,State Library of Queensland,"Caflisch, E. Inez.",image,Digital format: image/jpeg Original format: 1 score (2) p. ; 35 cm.,,"Copied and digitised from Laughter song / the words by E. Inez Calfisch ; the music by P. S. Templeton Brisbane, Qld. : [E. Inez Calfish & P. S. Templeton, c1934?]. Item is held by State Library of Queensland.",,Accession number: Bib 503447 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1257 ,,c1934?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1257,Laughter song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403613&custom_att_3=NLA,Laughter song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403617&custom_att_3=NLA,Laughter song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403621&custom_att_3=NLA,Laughter song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403614,503447-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403618,503447-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song of the convoys rolling along on the Great North Road,,"Middleton, Harold.",Popular music--Australia Songs with piano Trucking--Australia,'The Great Marching Song' --cover caption.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (3) p. ; 29 cm.,,"Copied and digitised from Song of the convoys rolling along on the Great North Road / words and music by Harold Middleton. Sydney, N.S.W. : Tin Pan (Australia) Publishing Co., [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 503458 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1258 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1258,Song of the convoys rolling along on the Great North Road - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403627&custom_att_3=NLA,Song of the convoys rolling along on the Great North Road - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403631&custom_att_3=NLA,Song of the convoys rolling along on the Great North Road - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403635&custom_att_3=NLA,Song of the convoys rolling along on the Great North Road - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403639&custom_att_3=NLA,Song of the convoys rolling along on the Great North Road thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403628,503458-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403632,503458-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403636,503458-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403640,,,,,,,,,,,,,,,,,,,,,,,,,,
My little Aussie girl,,"Rooke, Mark.",Popular music--Australia. Songs with piano.,"'Sung with immense success by Ernie Armstrong, late of Brennan & Fuller Circuit'.'Most popular song with a catchy refrain'.'Cover ill. map of Australia with woman's portrait framed by a heart shape'--cover.",State Library of Queensland,"Drumman, William B.",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 32 cm.,,"Copied and digitised from My little Aussie girl by Mark Rooke ; [music arranged by William B. Drumman]. [Brisbane, Qld.?] : Morcoms Limited [distributor], [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 503459 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1259 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1259,My little Aussie girl - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403645&custom_att_3=NLA,My little Aussie girl - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403649&custom_att_3=NLA,My little Aussie girl - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403653&custom_att_3=NLA,My little Aussie girl - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403657&custom_att_3=NLA,My little Aussie girl - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403661&custom_att_3=NLA,My little Aussie girl thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403646,503459-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403650,503459-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403654,503459-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403658,503459-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403662,,,,,,,,,,,,,,,,,,,,,,,,
Centenary song,,"Richter, Evelyn",Songs with piano,'Dedicated to the memory of the pioneers of the Fassifern District'. - cover. 'Key B flat'--cover.,State Library of Queensland,"Statham, Lilian",image,Digital format: image/jpeg Original format: 1 score (2) p. ; 31 cm.,,"Copied and digitised from Centenary song words and air by Lilian Statham ; music by Evelyn Richter Boonah, Qld. : Printed by the Fassifern Guardian, [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 503520 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1260 ,Fassifern region (Qld.),19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1260,Centenary song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403667&custom_att_3=NLA,Centenary song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403671&custom_att_3=NLA,Centenary song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403675&custom_att_3=NLA,Centenary song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403668,503520-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403672,503520-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My creed,,"Sterne, Laurie Annette",sheet music Songs with piano,"'Dedicated to Ruth B. Fairfax, State President of the Queensland Country Women's Association, May 1931'. --cover.",State Library of Queensland,"Walters, Howard Arnold.",image,Digital format: image/jpeg Original format: 1 score [2] p. ; 36 cm.,,"Copied and digitised from My creed the words by Howard Arnold Walters ; the music by Laurie Annette Sterne Warwick, Qld. : Laurie Annette Sterne, c1931. Item is held by State Library of Queensland.",,Accession number: Bib 611056 Is Part Of: Exhibition: My favourite things Is part of: View score online: http://hdl.handle.net/10462/comp/1261 ,,c1931,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1261,My creed - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403681&custom_att_3=NLA,My creed - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403685&custom_att_3=NLA,My creed - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403689&custom_att_3=NLA,611056-s001 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403682,611056-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403686,611056-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403690,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian coo-ee song,,"Stein, Hendrick",Songs with piano Songs--Australia,"Features a photograph of a man sitting astride a horse, in a bush setting. The cover includes the note - 'Blood's thicker than water'.",State Library of Queensland,"Munro, Robert",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 32 cm.,,"Copied and digitised from Australian coo-ee song / words by Robert Munro ; set to music by Hendrick Stein. Brisbane, Qld. : E. A .Howard, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 611065 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1262 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1262,Australian coo-ee song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403694&custom_att_3=NLA,Australian coo-ee song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403698&custom_att_3=NLA,Australian coo-ee song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403702&custom_att_3=NLA,Australian coo-ee song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403706&custom_att_3=NLA,Australian coo-ee song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403695,611065-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403699,611065-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403703,611065-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403707,,,,,,,,,,,,,,,,,,,,,,,,,,
Sons of Britannia a Federation song,,"Nicholson, John H.(John Henry),1838-1923.",Patriotic music--Australia.,Also available in an electronic version via the Internet,State Library of Queensland,"Benson, S. G.",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 37 cm.,,"Copied and digitised from Sons of Britannia a Federation song / words & melody composed by John H. Nicholson ; harmonized & arranged by S. G. Benson. Sydney, N.S.W. : W. H. Paling & Co., [189-?]. Item is held by State Library of Queensland.",,Accession number: Bib 635805 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1233 ,,189-?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1233,Sons of Britannia a Federation song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403712&custom_att_3=NLA,Sons of Britannia a Federation song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403716&custom_att_3=NLA,Sons of Britannia a Federation song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403720&custom_att_3=NLA,Sons of Britannia a Federation song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403724&custom_att_3=NLA,Sons of Britannia a Federation song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403728&custom_att_3=NLA,Sons of Britannia a Federation song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403713,635805-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403717,635805-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403721,635805-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403725,635805-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403729,,,,,,,,,,,,,,,,,,,,,,,,
Romance,,"Wilhelmy, A. H.",Piano music,'Dedicated to Mrs. A.B.Shaw'. --cover caption.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (4) p. ; 35 cm.,,"Copied and digitised from Romance composed by A. H. Wilhelmy. Brisbane, Qld. ; London : The Anglo-Australian Publishing Co., c1915. Item is held by State Library of Queensland.",,Accession number: Bib 635826 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1235 ,,c1915,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1235,Romance - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403754&custom_att_3=NLA,Romance - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403734&custom_att_3=NLA,Romance - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403738&custom_att_3=NLA,Romance - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403742&custom_att_3=NLA,Romance - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403746&custom_att_3=NLA,Romance - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403750&custom_att_3=NLA,Romance thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403735,635826-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403739,635826-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403743,635826-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403747,635826-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403751,635826-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403755,,,,,,,,,,,,,,,,,,,,,,
God save Australia,,"Weise, E. C. G.",Patriotic music--Australia. Sandgate (Qld.)--Songs and music.,"'Features a picture of the Australian & British flags crossed and tied.' 'Autograph (initials) of composer on front cover, dated 5/10/38.'",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (2) p. ; 32 cm.,,"Copied and digitised from God save Australia words and music by E. C. G. Weise. Sandgate, Qld. : H. Pole & Co. Pty. Ltd. Printers, [1938?] Item is held by State Library of Queensland.",,Accession number: Bib 763690 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1238 ,"Sandgate, Queensland; Lat/long: -27.3158,153.066299",1938?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1238,God save Australia - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403760&custom_att_3=NLA,God save Australia - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403764&custom_att_3=NLA,God save Australia - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403768&custom_att_3=NLA,God save Australia thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403761,640459-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403765,640459-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malboona gavotte,,"Edkins, E. M.(Edwina M.)",Piano music Ranches--Queensland--Winton region,"'Malboona property outside Winton'. 'Dedicated to Lady Chermside' -- in blue biro on t.p 'Rosamund Edkins from here notes, 26-6-1903'. -- blue biro on t.p.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (4 p.) ; 33 cm.,,"Copied and digitised from Malboona gavotte composed by E. M. Edkins. Melbourne, Vic. : W. H. Glen & Co., [1903?] Item is held by State Library of Queensland.",,Accession number: Bib 763689 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1240 ,"Malboona, Queensland; Lat/long: -21.883, 143.600",1903?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1240,First page of the score of Malboona gavotte 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403774&custom_att_3=NLA,Malboona gavotte - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403778&custom_att_3=NLA,Malboona gavotte - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403782&custom_att_3=NLA,Malboona gavotte - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403786&custom_att_3=NLA,First page of the score of Malboona gavotte thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403775,640463-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403779,640463-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403783,640463-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403787,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny Southport by the silver sea : waltz song,,"Maclean, Meta",Southport (Qld.)--Songs and music,"'Composer of 4QG tropical chorus, Wonderful moth of Moonbi, Forward, ever forward, etc.'.Includes text (with photo) by M. J, Sullivan on inside cover. 'Aerial view of Southport showing Broadwater and old Pier Jetty'",State Library of Queensland,"Sullivan, M. J.",image,Digital format: image/jpeg Original format: [4] p. ; 31 cm.,,"Copied and digitised from Sunny Southport by the silver sea : waltz song./ words and music by Meta Maclean. ; second verse by M. J. Sullivan. Southport, Qld. : M. J. Sullivan, [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 672979 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1241 ,"Southport, Queensland; -27.984113,153.411076",19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1241,Sunny Southport by the silver sea : waltz song. - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403792&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403796&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403800&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403804&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403808&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403812&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403816&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403820&custom_att_3=NLA,Sunny Southport by the silver sea : waltz song. thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403793,672979-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403797,672979-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403801,672979-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403805,672979-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403809,672979-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403813,672979-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403817,672979-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403821,,,,,,,,,,,,,,,,,,
Intermezzo giocoso,,"Brier, Percy,1885-1970",Piano music,For piano . Cover title . 'To John Ellis'. -- t.p. caption.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (5 p.) ; 28 cm.,,"Copied and digitised from Intermezzo giocoso Percy Brier. Sydney : Paling, c1950. Item is held by State Library of Queensland.",,Accession number: Bib 673992 Is part of: Music Queensland View score online: http://hdl.handle.net/10462/comp/1244 ,,c1950,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1244,Intermezzo giocoso - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403825&custom_att_3=NLA,Intermezzo giocoso - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403829&custom_att_3=NLA,Intermezzo giocoso - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403833&custom_att_3=NLA,Intermezzo giocoso - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403837&custom_att_3=NLA,Intermezzo giocoso - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403841&custom_att_3=NLA,Intermezzo giocoso - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403845&custom_att_3=NLA,673992-s001 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403826,673992-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403830,673992-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403834,673992-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403838,673992-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403842,673992-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=403846,,,,,,,,,,,,,,,,,,,,,,
